[14.10.2012 7:33:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:34:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:35:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:36:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:37:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:38:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:39:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:40:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:41:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:42:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:43:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:44:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:45:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:46:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:47:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:48:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:49:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:50:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:51:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:52:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:53:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:54:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:55:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:56:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:57:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:58:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:59:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:00:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:01:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:02:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:03:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:04:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:05:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:06:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:07:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:08:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:09:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:10:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:11:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:12:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:13:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:14:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:15:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:16:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:17:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:18:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:19:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:20:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:21:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:22:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:23:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:24:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:25:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:26:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:27:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:28:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:29:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:30:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:31:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:32:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:33:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:34:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:35:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:36:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:37:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:38:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:39:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:40:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:41:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:42:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:43:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:44:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:45:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:46:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:47:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:48:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:49:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:50:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:51:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:52:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:53:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:54:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:55:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:56:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:57:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:58:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 8:59:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:00:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:01:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:02:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:03:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:04:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:05:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:06:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:07:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:08:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:09:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:10:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:11:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:12:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:13:02] inner loop ended, sleeping for 60 seconds.
